Tel,Filter,HJD,mag,e_mag,mag_aligned,e_mag_aligned
OGLE,I,7625.59671,19.454,0.072,19.454,0.07199999999999998
OGLE,I,7625.64065,19.595,0.083,19.595,0.08299999999999999
OGLE,I,7626.48169,19.435,0.07,19.435,0.06999999999999999
OGLE,I,7626.52929,19.519,0.072,19.519,0.07199999999999998
OGLE,I,7626.59463,19.516,0.079,19.516,0.07899999999999997
OGLE,I,7626.64862,19.529,0.077,19.529,0.07699999999999999
OGLE,I,7630.48249,19.723,0.103,19.723,0.10299999999999998
OGLE,I,7630.54845,19.372,0.054,19.372,0.054
OGLE,I,7630.59303,19.398,0.06,19.398,0.05999999999999999
OGLE,I,7630.63765,19.514,0.072,19.514,0.07199999999999997
OGLE,I,7631.47957,19.439,0.078,19.439,0.07799999999999997
OGLE,I,7631.5407,19.622,0.063,19.622,0.06299999999999999
OGLE,I,7631.58551,19.446,0.055,19.446,0.055
OGLE,I,7631.6293,19.493,0.052,19.493,0.05199999999999999
OGLE,I,7632.47952,19.469,0.086,19.469,0.08599999999999998
OGLE,I,7632.53969,19.384,0.067,19.384,0.067
OGLE,I,7632.5854,19.38,0.059,19.38,0.05899999999999999
OGLE,I,7632.62928,19.584,0.074,19.584,0.07399999999999998
OGLE,I,7633.55198,19.39,0.095,19.39,0.09499999999999999
OGLE,I,7633.59751,19.422,0.09,19.422,0.08999999999999998
OGLE,I,7633.64242,19.404,0.085,19.404,0.085
OGLE,I,7634.52841,19.278,0.089,19.278,0.089
OGLE,I,7634.57361,19.216,0.072,19.216,0.07199999999999998
OGLE,I,7635.50551,19.443,0.103,19.443,0.10299999999999998
OGLE,I,7635.55889,19.376,0.09,19.376,0.08999999999999998
OGLE,I,7636.57933,19.539,0.084,19.539,0.084
OGLE,I,7636.62354,19.431,0.078,19.431,0.07799999999999997
OGLE,I,7637.48011,19.33,0.063,19.33,0.063
OGLE,I,7637.53995,19.404,0.057,19.404,0.05700000000000001
OGLE,I,7637.58388,19.52,0.067,19.52,0.06699999999999999
OGLE,I,7637.62808,19.537,0.089,19.537,0.08899999999999997
OGLE,I,7638.50293,19.196,0.075,19.196,0.075
OGLE,I,7638.55676,19.382,0.086,19.382,0.086
OGLE,I,7638.63963,19.405,0.063,19.405,0.063
OGLE,I,7639.51628,19.23,0.078,19.23,0.07799999999999999
OGLE,I,7639.57429,19.533,0.067,19.533,0.06699999999999999
OGLE,I,7639.61898,19.569,0.065,19.569,0.06499999999999999
OGLE,I,7643.55206,19.334,0.131,19.334,0.13099999999999998
OGLE,I,7644.51685,19.387,0.118,19.387,0.118
OGLE,I,7644.55467,19.509,0.11,19.509,0.10999999999999999
